;subject;grade;question;answer
0;English;5; ‌What‌ ‌is‌ ‌the‌ ‌superlative‌ ‌‌of‌ ‌many?‌ ‌;‌Most.
1;English;5; ‌What‌ ‌are‌ ‌similar‌ sounding words‌ ‌called?‌ ‌;‌Homonyms.
2;English;5; ‌What‌ ‌is‌ ‌the‌ ‌meaning of the word 'thine'?‌ ‌;‌Yours.
3;English;5; ‌What‌ ‌is‌ ‌the‌ ‌past‌ ‌tense‌ ‌of‌ ‌cut?‌ ‌;‌Cut‌, it is the same.
4;English;5; ‌What‌ ‌tense‌ ‌is‌ ‌this sentence:‌ ‌'We‌ ‌will‌ ‌eat‌ ‌pizza‌ ‌tomorrow'?;‌Future‌ ‌tense.
5;English;5; ‌What‌ ‌is‌ ‌the‌ ‌common‌ ‌name‌ ‌for‌ ‌any‌ ‌name,‌ ‌place,‌ ‌animal‌, or‌ ‌thing‌ ‌called?‌ ‌;‌A‌ ‌noun.
6;English;5; ‌Can you name‌ ‌the three ‌articles‌ ‌in‌ ‌the‌ ‌English‌ ‌language?; ‌'A', 'an', and 'the'.‌ ‌
7;English;5; ‌What‌ ‌is‌ ‌a‌ ‌baby‌ ‌kangaroo‌ ‌called?‌ ‌;‌Joey.
8;English;5; ‌What‌'s‌ ‌the‌ ‌collective‌ ‌noun‌ ‌for‌ ‌a‌ ‌group‌ ‌of‌ ‌fish?‌ ‌;‌A‌ ‌shoal or a school (both are common).
9;English;5; ‌What is the meaning of the word 'thee'? ‌;‌You.
10;English;5; ‌What‌ ‌is‌ ‌the‌ ‌word‌ ‌used‌ ‌to describe a‌ ‌noun‌ ‌called?‌ ‌;‌An‌ ‌adjective‌.‌
11;English;5; ‌Who‌ ‌first wrote‌ ‌the‌ ‌book‌ ‌'The‌ ‌Little‌ ‌Mermaid'?‌ ‌;‌Hans‌ ‌Christian‌ ‌Anderson‌.
12;English;5; ‌How‌ ‌many‌ ‌articles‌ ‌are‌ ‌present ‌in‌ ‌the‌ ‌English‌ ‌language?‌ ‌;‌Three‌ ‌articles:‌ ‌a,‌ ‌an,‌ ‌the.
13;English;5;"Fill‌ ‌in‌ ‌the‌ ‌blank with‌ ‌the‌ ‌correct‌ ‌verb‌ ‌form:‌ ""'Yesterday,‌ ‌she‌ ‌was‌ ‌_______‌ ‌us‌ ‌a‌ ‌question'.‌ ‌";'‌asking‌'.
14;English;5; ‌What‌ ‌is the‌ ‌comparative‌ ‌degree‌ ‌and‌ ‌superlative‌ ‌degree‌ ‌of‌ ‌the‌ ‌word‌ ‌'beautiful'?‌ ‌;‌'More‌ ‌beautiful' and '‌most‌ ‌beautiful'.
15;English;5; ‌Who‌ ‌wrote‌ ‌the‌ ‌play‌ ‌'Romeo‌ ‌And‌ ‌Juliet'?‌ ‌;‌William‌ ‌Shakespeare.
16;English;5; ‌What‌ ‌is‌ ‌the‌ ‌plural‌ ‌noun‌ ‌of‌ ‌deer?‌ ‌;‌Deer‌, it is the same.
17;English;5; ‌What‌ ‌is‌ ‌a‌ ‌synonym?‌ ‌;‌A‌ ‌word‌ ‌that means ‌the‌ ‌same‌ ‌as‌ ‌the‌ ‌given‌ ‌word.‌ ‌
18;English;5; ‌Who is the creator of the classic book characters Tom Sawyer and Huckleberry Finn? ‌;ark Twain.
19;English;5; ‌Fill‌ ‌in‌ ‌the blank with ‌the‌ ‌missing‌ ‌article:‌ ‌'She‌ ‌will‌ ‌arrive‌ ‌in‌ ‌___‌ ‌hour'.‌ ‌;'‌an'.‌ ‌
20;English;5; ‌What‌ would you call a character in a story that revolves around him or her?‌ ‌;‌The ‌protagonist.
21;English;5; ‌What‌ ‌is‌ ‌the‌ ‌... punctuation‌ ‌called?‌ ‌;‌Ellipsis.
22;English;5; ‌Who‌ ‌wrote‌ ‌the‌ ‌book‌ ‌'The‌ ‌Little‌ ‌Prince'?‌ ‌;‌Antoine‌ ‌de‌ ‌Saint‌ ‌Exupéry‌.
23;English;5; ‌How‌ ‌many‌ ‌verbs‌ ‌are‌ ‌present‌ ‌in‌ ‌this‌ ‌sentence:‌ ‌'We‌ ‌slept‌ ‌while‌ ‌they‌ ‌danced‌ ‌and‌ ‌cooked‌ ‌us‌ ‌meals'?;‌Three‌.
24;English;5; ‌What‌ ‌are‌ sets of words‌ ‌that are opposite in meaning called?‌ ‌;‌Antonyms‌.
25;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank‌ ‌using‌ ‌the‌ ‌suitable‌ ‌conjunction:‌ ‌'He‌ ‌failed‌ ‌______‌ ‌he‌ ‌didn't‌ ‌study‌ ‌well'.;‌'because‌'.
26;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'Neil Armstrong ‌and‌ Buzz Aldrin  _____‌ ‌the‌ ‌first‌ ‌humans‌ ‌to‌ ‌visit‌ ‌the‌ ‌moon.'.;‌'were‌'.
27;English;5; ‌What‌ ‌are‌ question‌ ‌words‌ (who, what, when, where, whose) ‌called?‌ ‌;‌Interrogative‌ ‌words‌.
28;English;5; ‌What‌ ‌are‌ ‌oxymorons?‌ ‌;‌Antonyms‌ ‌used‌ ‌together‌ ‌to form a sentence or description.
29;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'Work‌ ‌hard‌ ‌___‌ ‌get‌ ‌success'. ‌;'‌to‌'.
30;English;5; ‌Fill‌ ‌in‌ ‌the‌ ‌blank:‌ ‌'She‌ ‌lives‌ ‌in‌ ‌___‌ ‌United States.'. ‌;‌'the'.‌
31;English;5; ‌Which‌ ‌of‌ ‌these‌ ‌words‌ ‌means‌ ‌sparkle: 'dazzle‌', 'dangle', or 'jazz‌le'?;‌Dazzle‌.
32;English;5; ‌What word can be‌ ‌the‌ ‌shortest‌ ‌sentence‌ ‌in‌ ‌the English‌ ‌language?‌ ‌;‌Go.
33;English;5; ‌What‌ ‌is‌ ‌the‌ ‌dot‌ ‌over‌ the lowercase letter I in ‌the‌ ‌English‌ ‌alphabet ‌called?‌ ‌;‌Tittle‌.
34;English;5; ‌What‌ ‌is‌ ‌the‌ ‌collective‌ ‌noun‌ ‌for‌ ‌a‌ ‌group‌ ‌of‌ ‌puppies?‌ ‌;itter.
35;History and Geography;5; ‌Who‌ ‌is credited with inventing ‌the‌ light bulb?‌ ‌ ‌;‌Thomas‌ ‌Alva‌ ‌Edison‌. ‌
36;History and Geography;5;How‌ ‌many‌ ‌stars‌ ‌are‌ ‌present‌ ‌on‌ ‌the‌ ‌official‌ ‌flag‌ ‌of‌ ‌the‌ United States of America?‌ ‌;‌50‌ ‌
37;History and Geography;5; ‌Who‌ ‌was‌ ‌the‌ first president of the United States?;‌George‌ ‌Washington‌.
38;History and Geography;5; ‌Name‌ ‌the‌ ‌famous‌ ‌activist‌ ‌from ‌North America ‌who‌ ‌‌protested‌ ‌against‌ ‌racism‌ ‌by‌ sitting‌ ‌on ‌a‌ ‌‌bus.‌ ‌;‌Rosa‌ ‌Parks‌.‌
39;History and Geography;5; ‌Who‌ ‌made‌ ‌the‌ famous ‌'I‌ ‌Have A‌ ‌Dream'‌ ‌speech?‌ ‌;‌Martin‌ ‌Luther‌ ‌King‌ ‌Jr.‌
40;History and Geography;5; ‌In‌ ‌which‌ ‌country‌ ‌of‌ ‌South America ‌is one of‌ ‌the‌ Seven‌ Wonders‌ ‌of‌ ‌the‌ ‌World,‌ ‌Machu‌ ‌Picchu‌, located?‌ ‌;‌Peru.
41;History and Geography;5; ‌In‌ ‌which‌ ‌city‌ ‌of‌ North America ‌is the‌ ‌Statue‌ ‌of‌ ‌Liberty‌ ‌located?‌ ‌;‌New‌ ‌York‌ City.
42;History and Geography;5; ‌What‌ ‌does‌ ‌the‌ ‌DC‌ ‌in‌ ‌Washington‌ ‌DC‌ ‌stand‌ ‌for?‌ ‌;‌District‌ ‌of‌ ‌Columbia‌.
43;History and Geography;5; ‌Which‌ ‌is‌ ‌the‌ ‌most‌ ‌populated‌ ‌state‌ ‌in‌ ‌North‌ ‌America?‌ ‌;‌California‌.
44;History and Geography;5; ‌Which‌ ‌language‌ ‌is‌ ‌the‌ ‌most‌ ‌widely‌ ‌spoken‌ ‌language‌ ‌in‌ ‌South‌ ‌America?‌ ‌;‌Spanish‌.
45;History and Geography;5; ‌What‌ ‌is‌ ‌the‌ ‌name‌ ‌of‌ ‌the‌ ‌national‌ ‌flag‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌The‌ ‌Stars‌ ‌and‌ ‌‌Stripes‌ or The Star-Spangled Banner.
46;History and Geography;5; ‌In‌ ‌which‌ ‌North‌ ‌American‌ ‌state‌ ‌is‌ ‌the‌ ‌Liberty‌ ‌Bell‌ ‌located?‌ ‌;‌Pennsylvania‌.
47;History and Geography;5; ‌Can you name‌ ‌the‌ ‌longest‌ ‌river‌ ‌flowing‌ ‌in‌ ‌the United States?‌ ‌;‌The‌ ‌‌Missouri‌ ‌River.
48;History and Geography;5; ‌Who,‌ ‌along‌ ‌with‌ ‌Neil‌ ‌Armstrong,‌ ‌first‌ ‌landed‌ ‌on‌ ‌the‌ ‌moon?‌ ‌;‌Edwin 'Buzz‌' ‌Aldrin‌.
49;History and Geography;5; ‌Name‌ ‌the‌ ‌first‌ ‌satellite‌ ‌pulled‌ ‌into‌ ‌orbit‌ ‌by‌ ‌the‌ ‌United‌ ‌States.‌ ‌;‌Explorer‌ 1.
50;History and Geography;5; ‌Who‌ ‌was‌ ‌the‌ ‌16th‌ ‌president‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌Abraham‌ ‌Lincoln.
51;History and Geography;5; ‌Which‌ city ‌is‌ ‌the‌ ‌oldest‌ ‌city‌ ‌in‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌St.‌ ‌Augustine,‌ ‌Florida.
52;History and Geography;5; ‌Which‌ ‌is‌ ‌the‌ ‌largest‌ ‌state‌ ‌in‌ ‌the‌ ‌United‌ ‌States‌ ‌in‌ ‌terms‌ ‌of‌ ‌land?‌ ‌;‌Alaska.
53;History and Geography;5; ‌Can you name‌ ‌the‌ ‌only‌ ‌state‌ ‌in‌ ‌America‌ ‌that‌ ‌grows‌ ‌coffee?;‌Hawaii‌.
54;History and Geography;5; Can you name‌ ‌the‌ ‌state‌ ‌where‌ ‌the‌ ‌Gateway Arch‌ ‌is‌ ‌located?‌ ‌;‌Missouri.
55;History and Geography;5; ‌Which‌ ‌city‌ ‌is‌ ‌called‌ ‌the‌ ‌Motor‌ ‌City‌ ‌of‌ ‌North‌ ‌America?‌ ‌;‌Detroit.
56;History and Geography;5; ‌What‌ ‌is‌ ‌the‌ ‌national‌ ‌bird‌ ‌of‌ ‌the‌ ‌United‌ ‌States?‌ ‌;‌The‌ ‌American‌ ‌bald‌ ‌eagle‌‌.
